1403636581.913555 -0.008462 0.004128 -0.113165 0.810042 0.063770 0.578860 -0.068457
1403636582.013556 -0.012579 0.005265 -0.174705 0.819123 0.060850 0.566484 -0.066560
1403636582.113555 -0.016638 0.008395 -0.223818 0.828708 0.067946 0.550923 -0.071491
1403636582.213556 -0.020406 0.012097 -0.247660 0.835588 0.071710 0.539532 -0.074543
1403636582.413555 -0.018797 0.017170 -0.194189 0.833259 0.073452 0.542275 -0.078881
1403636582.513556 -0.016634 0.018284 -0.134673 0.825246 0.076148 0.553576 -0.082005
1403636582.613555 -0.013442 0.016714 -0.068872 0.821100 0.074116 0.560756 -0.076512
1403636582.713556 -0.010447 0.013848 -0.003109 0.819087 0.070221 0.564662 -0.072957
1403636582.813555 -0.005362 0.009407 0.061451 0.815307 0.061547 0.571474 -0.070022
1403636582.913555 -0.001522 0.003584 0.123164 0.807366 0.051353 0.583977 -0.067036
1403636583.013556 -0.001197 -0.000633 0.169905 0.797551 0.045650 0.598228 -0.062867
1403636583.113555 -0.001951 -0.004617 0.188938 0.792577 0.047274 0.604684 -0.062794
1403636583.313555 -0.002996 -0.005516 0.135334 0.793941 0.051410 0.602926 -0.059124
1403636583.413555 -0.001951 -0.006839 0.078489 0.795439 0.055148 0.600083 -0.064312
1403636583.513556 -0.002133 -0.008347 0.011598 0.797793 0.062829 0.595547 -0.070014
1403636583.613555 -0.002703 -0.008908 -0.058586 0.803775 0.065309 0.587678 -0.065688
1403636583.713556 -0.005473 -0.008145 -0.126857 0.814373 0.066239 0.571955 -0.072644
1403636583.813555 -0.009242 -0.006935 -0.185294 0.826619 0.064817 0.553592 -0.077685
1403636583.913555 -0.013285 -0.006155 -0.231071 0.833312 0.068814 0.543229 -0.075882
1403636584.013556 -0.017555 -0.003696 -0.258096 0.834995 0.076154 0.539542 -0.076668
1403636584.113555 -0.020400 -0.001472 -0.259489 0.834337 0.080191 0.539318 -0.081161
1403636584.213556 -0.018682 -0.001098 -0.231743 0.834265 0.080207 0.539596 -0.080031
1403636584.313555 -0.014875 -0.001223 -0.182642 0.832397 0.076222 0.543638 -0.075923
1403636584.413555 -0.008854 -0.002650 -0.119874 0.830693 0.076406 0.547159 -0.068763
1403636584.513556 -0.001554 -0.004703 -0.048921 0.826476 0.074850 0.554480 -0.062354
1403636584.613555 0.004903 -0.006043 0.025101 0.818041 0.068172 0.568074 -0.058775
1403636584.713556 0.008711 -0.007638 0.095038 0.805681 0.062863 0.586147 -0.057947
1403636584.813555 0.010049 -0.010352 0.154204 0.795351 0.060814 0.599992 -0.061059
1403636584.913555 0.008278 -0.011498 0.195902 0.788956 0.057352 0.608220 -0.065782
1403636585.213556 0.010622 -0.011886 0.160881 0.794162 0.048584 0.602413 -0.063599
1403636585.313555 0.013776 -0.013671 0.112084 0.797697 0.050496 0.598447 -0.054685
1403636585.413555 0.015572 -0.015832 0.058449 0.801163 0.053683 0.594277 -0.045735
1403636585.513556 0.015191 -0.016817 0.005596 0.807156 0.063319 0.584601 -0.052260
1403636585.613555 0.007119 -0.018403 -0.040206 0.813039 0.072652 0.574327 -0.061944
1403636585.713556 -0.004351 -0.020111 -0.071544 0.820123 0.077060 0.562220 -0.073278
1403636585.813555 -0.015295 -0.022130 -0.087532 0.828690 0.076822 0.548307 -0.082043
1403636585.913555 -0.025639 -0.023588 -0.091814 0.838598 0.076996 0.531764 -0.089731
1403636586.013556 -0.032811 -0.025017 -0.090470 0.850902 0.073248 0.512706 -0.087936
1403636586.113555 -0.038533 -0.025416 -0.087050 0.864111 0.064722 0.493295 -0.076049
1403636586.213556 -0.045674 -0.022638 -0.081818 0.874177 0.056942 0.477126 -0.070163
1403636586.313555 -0.055216 -0.021024 -0.077753 0.884966 0.052329 0.457658 -0.068162
1403636586.413555 -0.066114 -0.022019 -0.075317 0.895581 0.046514 0.437493 -0.066114
1403636586.513556 -0.076564 -0.026743 -0.073369 0.903670 0.051265 0.419773 -0.067402
1403636586.613555 -0.081871 -0.034592 -0.069792 0.907907 0.058495 0.408662 -0.072656
1403636586.813555 -0.075968 -0.052539 -0.063635 0.903954 0.061395 0.415184 -0.081979
